,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
732,Call of Duty: Black Ops II,29.400000000000002,14.08,0.72,3.76,80.25,136.0,5.300000000000001,5041.0,34,2012.0,Shooter,Activision,Treyarch,M
729,Call of Duty: Black Ops,29.19,16.99,0.59,3.08,82.25,185.0,6.125,2689.0,41,2010.0,Shooter,Activision,Treyarch,M
731,Call of Duty: Black Ops,29.19,16.99,0.59,3.08,82.25,185.0,6.125,2689.0,3439,2010.0,Shooter,Activision,n-Space,T
730,Call of Duty: Black Ops,29.19,16.99,0.59,3.08,82.25,185.0,6.125,2689.0,1412,2010.0,Shooter,Activision,Treyarch,M
728,Call of Duty: Black Ops,29.19,16.99,0.59,3.08,82.25,185.0,6.125,2689.0,32,2010.0,Shooter,Activision,Treyarch,M
6595,Wii Play,28.92,13.96,2.93,2.84,58.0,41.0,6.6,129.0,7,2006.0,Misc,Nintendo,Nintendo,E
4024,New Super Mario Bros. Wii,28.32,14.44,4.7,2.24,87.0,80.0,8.4,594.0,8,2009.0,Platform,Nintendo,Nintendo,E
742,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,493,2013.0,Shooter,Activision,Infinity Ward,M
740,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,69,2013.0,Shooter,Activision,Infinity Ward,M
741,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,323,2013.0,Shooter,Activision,Infinity Ward,M
743,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,5348,2013.0,Shooter,Activision,Treyarch,M
739,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,60,2013.0,Shooter,Activision,Infinity Ward,M
748,Call of Duty: Modern Warfare 2,24.95,13.52,0.46,2.9699999999999998,91.33333333333333,207.0,5.6000000000000005,11201.0,55,2009.0,Shooter,Activision,Infinity Ward,M
749,Call of Duty: Modern Warfare 2,24.95,13.52,0.46,2.9699999999999998,91.33333333333333,207.0,5.6000000000000005,11201.0,2356,2009.0,Shooter,Activision,Infinity Ward,M
747,Call of Duty: Modern Warfare 2,24.95,13.52,0.46,2.9699999999999998,91.33333333333333,207.0,5.6000000000000005,11201.0,36,2009.0,Shooter,Activision,Infinity Ward,M
2232,Grand Theft Auto: San Andreas,23.729999999999997,10.69,0.41,10.7,93.66666666666667,185.0,8.833333333333334,3547.0,2115,2005.0,Action,Take-Two Interactive,Rockstar North,M
2231,Grand Theft Auto: San Andreas,23.729999999999997,10.69,0.41,10.7,93.66666666666667,185.0,8.833333333333334,3547.0,875,2005.0,Action,Take-Two Interactive,Rockstar North,AO
2230,Grand Theft Auto: San Andreas,23.729999999999997,10.69,0.41,10.7,93.66666666666667,185.0,8.833333333333334,3547.0,17,2004.0,Action,Take-Two Interactive,Rockstar North,M
3216,Mario Kart DS,23.21,9.71,4.13,1.9,91.0,64.0,8.6,464.0,11,2005.0,Racing,Nintendo,Nintendo,E
6589,Wii Fit,22.7,8.92,3.6,2.15,80.0,63.0,7.7,146.0,13,2007.0,Sports,Nintendo,Nintendo,E
2220,Grand Theft Auto IV,22.389999999999997,11.53,0.5800000000000001,2.71,95.33333333333333,190.0,7.333333333333333,8083.0,2371,2008.0,Action,Take-Two Interactive,Rockstar Toronto,M
2219,Grand Theft Auto IV,22.389999999999997,11.53,0.5800000000000001,2.71,95.33333333333333,190.0,7.333333333333333,8083.0,57,2008.0,Action,Take-Two Interactive,Rockstar North,M
2218,Grand Theft Auto IV,22.389999999999997,11.53,0.5800000000000001,2.71,95.33333333333333,190.0,7.333333333333333,8083.0,51,2008.0,Action,Take-Two Interactive,Rockstar North,M
2735,Kinect Adventures!,21.81,15.0,0.24,1.69,61.0,45.0,6.3,106.0,14,2010.0,Misc,Microsoft Game Studios,Good Science Studio,E
6590,Wii Fit Plus,21.79,9.01,2.53,1.77,80.0,33.0,7.4,52.0,15,2009.0,Sports,Nintendo,Nintendo,E
611,Brain Age: Train Your Brain in Minutes a Day,20.15,4.74,4.16,2.04,77.0,58.0,7.9,50.0,19,2005.0,Misc,Nintendo,Nintendo,E
5707,The Elder Scrolls V: Skyrim,19.08,8.76,0.35,2.45,94.0,137.0,7.633333333333333,15189.0,313,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
5706,The Elder Scrolls V: Skyrim,19.08,8.76,0.35,2.45,94.0,137.0,7.633333333333333,15189.0,130,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
5705,The Elder Scrolls V: Skyrim,19.08,8.76,0.35,2.45,94.0,137.0,7.633333333333333,15189.0,75,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
721,Call of Duty 4: Modern Warfare,18.19,9.989999999999998,0.42000000000000004,2.04,88.75,176.0,8.05,4709.0,120,2007.0,Shooter,Activision,Infinity Ward,M
720,Call of Duty 4: Modern Warfare,18.19,9.989999999999998,0.42000000000000004,2.04,88.75,176.0,8.05,4709.0,70,2007.0,Shooter,Activision,Infinity Ward,M
722,Call of Duty 4: Modern Warfare,18.19,9.989999999999998,0.42000000000000004,2.04,88.75,176.0,8.05,4709.0,1772,2007.0,Shooter,Activision,Infinity Ward,M
723,Call of Duty 4: Modern Warfare,18.19,9.989999999999998,0.42000000000000004,2.04,88.75,176.0,8.05,4709.0,1964,2007.0,Shooter,Activision,n-Space,T
421,Battlefield 3,17.27,8.200000000000001,0.41,2.23,86.0,156.0,7.466666666666666,8829.0,538,2011.0,Shooter,Electronic Arts,EA DICE,M
419,Battlefield 3,17.27,8.200000000000001,0.41,2.23,86.0,156.0,7.466666666666666,8829.0,101,2011.0,Shooter,Electronic Arts,EA DICE,M
420,Battlefield 3,17.27,8.200000000000001,0.41,2.23,86.0,156.0,7.466666666666666,8829.0,104,2011.0,Shooter,Electronic Arts,EA DICE,M
2290,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,208,2007.0,Misc,Activision,"Neversoft Entertainment, BudCat",T
2291,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,234,2007.0,Misc,Activision,Vicarious Visions,T
2292,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,239,2007.0,Misc,Activision,Neversoft Entertainment,T
2293,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,715,2007.0,Misc,Activision,Neversoft Entertainment,T
2294,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,15618,2007.0,Misc,Aspyr,Aspyr,T
2234,Grand Theft Auto: Vice City,16.189999999999998,8.41,0.47,1.79,94.5,92.0,8.75,2250.0,13876,2003.0,Action,Take-Two Interactive,Rockstar North,M
2233,Grand Theft Auto: Vice City,16.189999999999998,8.41,0.47,1.79,94.5,92.0,8.75,2250.0,24,2002.0,Action,Take-Two Interactive,Rockstar North,M
757,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,887,2008.0,Shooter,Activision,Exakt,M
759,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,8038,2008.0,Shooter,Activision,Treyarch,M
758,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,2341,2008.0,Shooter,Activision,n-Space,T
756,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,170,2008.0,Shooter,Activision,Treyarch,M
755,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,100,2008.0,Shooter,Activision,Treyarch,M
609,Brain Age 2: More Training in Minutes a Day,15.29,3.43,5.32,1.18,77.0,37.0,7.1,19.0,26,2005.0,Puzzle,Nintendo,Nintendo,E
1738,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,126,2013.0,Sports,Electronic Arts,EA Canada,E
1742,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,4809,2013.0,Sports,Electronic Arts,EA Canada,E
1741,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,1753,2013.0,Sports,Electronic Arts,EA Canada,E
1740,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,469,2013.0,Sports,Electronic Arts,EA Canada,E
1739,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,271,2013.0,Sports,Electronic Arts,EA Canada,E
2877,LEGO Star Wars: The Complete Saga,15.259999999999998,8.950000000000001,0.0,1.56,80.0,68.0,7.1000000000000005,309.0,155,2007.0,Action,LucasArts,Traveller's Tales,E10+
2878,LEGO Star Wars: The Complete Saga,15.259999999999998,8.950000000000001,0.0,1.56,80.0,68.0,7.1000000000000005,309.0,222,2007.0,Action,LucasArts,TT Fusion,E
2879,LEGO Star Wars: The Complete Saga,15.259999999999998,8.950000000000001,0.0,1.56,80.0,68.0,7.1000000000000005,309.0,595,2007.0,Action,LucasArts,Traveller's Tales,E10+
2880,LEGO Star Wars: The Complete Saga,15.259999999999998,8.950000000000001,0.0,1.56,80.0,68.0,7.1000000000000005,309.0,695,2007.0,Action,LucasArts,Traveller's Tales,E10+
2202,Gran Turismo 3: A-Spec,14.98,6.85,1.87,1.16,95.0,54.0,8.4,314.0,28,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
1785,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,4438,2012.0,Action,Electronic Arts,Electronic Arts,E
1787,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,6029,2012.0,Action,Electronic Arts,Electronic Arts,E
1784,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,4153,2012.0,Action,Electronic Arts,Electronic Arts,E
1786,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,4821,2012.0,Action,Electronic Arts,Electronic Arts,E
1783,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,190,2012.0,Action,Electronic Arts,Electronic Arts,E
1782,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,81,2012.0,Action,Electronic Arts,Electronic Arts,E
425,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,847,2013.0,Shooter,Electronic Arts,EA DICE,M
426,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,1437,2013.0,Shooter,Electronic Arts,EA DICE,M
423,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,378,2013.0,Shooter,Electronic Arts,EA DICE,M
422,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,357,2013.0,Shooter,Electronic Arts,EA DICE,M
424,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,380,2013.0,Shooter,Electronic Arts,EA DICE,M
5916,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,3023,2010.0,Simulation,Electronic Arts,Exient Entertainment,E
5913,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,701,2010.0,Simulation,Electronic Arts,The Sims Studio,T
5915,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,2697,2011.0,Simulation,Electronic Arts,EA Games,T
5914,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,884,2010.0,Simulation,Electronic Arts,The Sims Studio,T
5912,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,85,2009.0,Simulation,Electronic Arts,The Sims Studio,T
725,Call of Duty: Advanced Warfare,13.34,6.180000000000001,0.15000000000000002,1.74,80.66666666666667,110.0,5.2,3477.0,92,2014.0,Shooter,Activision,Sledgehammer Games,M
726,Call of Duty: Advanced Warfare,13.34,6.180000000000001,0.15000000000000002,1.74,80.66666666666667,110.0,5.2,3477.0,179,2014.0,Shooter,Activision,Sledgehammer Games,M
727,Call of Duty: Advanced Warfare,13.34,6.180000000000001,0.15000000000000002,1.74,80.66666666666667,110.0,5.2,3477.0,4736,2014.0,Shooter,Activision,Sledgehammer Games,M
2217,Grand Theft Auto III,13.11,6.99,0.3,1.3,95.0,76.0,8.45,1469.0,16193,2002.0,Action,Take-Two Interactive,"DMA Design, Rockstar North",M
2216,Grand Theft Auto III,13.11,6.99,0.3,1.3,95.0,76.0,8.45,1469.0,38,2001.0,Action,Take-Two Interactive,DMA Design,M
266,Assassin's Creed III,13.02,6.24,0.19,1.7100000000000002,83.5,149.0,6.725,4208.0,2237,2012.0,Action,Ubisoft,Ubisoft,M
265,Assassin's Creed III,13.02,6.24,0.19,1.7100000000000002,83.5,149.0,6.725,4208.0,176,2012.0,Action,Ubisoft,Ubisoft,M
264,Assassin's Creed III,13.02,6.24,0.19,1.7100000000000002,83.5,149.0,6.725,4208.0,127,2012.0,Action,Ubisoft,Ubisoft,M
267,Assassin's Creed III,13.02,6.24,0.19,1.7100000000000002,83.5,149.0,6.725,4208.0,5286,2012.0,Action,Ubisoft,Ubisoft Quebec,M
5474,Super Smash Bros. Brawl,12.84,6.62,2.66,1.01,93.0,81.0,8.9,1662.0,39,2008.0,Fighting,Nintendo,Game Arts,T
4537,Red Dead Redemption,12.81,6.49,0.26,1.5699999999999998,95.0,169.0,8.9,4772.0,135,2010.0,Action,Take-Two Interactive,Rockstar San Diego,M
4536,Red Dead Redemption,12.81,6.49,0.26,1.5699999999999998,95.0,169.0,8.9,4772.0,125,2010.0,Action,Take-Two Interactive,Rockstar San Diego,M
2690,Just Dance 3,12.759999999999998,7.75,0.0,1.31,73.0,54.0,7.166666666666667,40.0,3235,2011.0,Misc,Ubisoft,Ubisoft,E10+
2689,Just Dance 3,12.759999999999998,7.75,0.0,1.31,73.0,54.0,7.166666666666667,40.0,846,2011.0,Misc,Ubisoft,Ubisoft,E10+
2688,Just Dance 3,12.759999999999998,7.75,0.0,1.31,73.0,54.0,7.166666666666667,40.0,61,2011.0,Misc,Ubisoft,Ubisoft,E10+
1836,Fallout 4,12.669999999999998,5.549999999999999,0.25,1.6099999999999999,86.33333333333333,135.0,6.033333333333334,13489.0,105,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
1838,Fallout 4,12.669999999999998,5.549999999999999,0.25,1.6099999999999999,86.33333333333333,135.0,6.033333333333334,13489.0,1530,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
1837,Fallout 4,12.669999999999998,5.549999999999999,0.25,1.6099999999999999,86.33333333333333,135.0,6.033333333333334,13489.0,270,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
3214,Mario Kart 7,12.66,5.03,2.69,0.91,85.0,73.0,8.2,632.0,40,2011.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
179,Animal Crossing: Wild World,12.13,2.5,5.33,0.86,86.0,57.0,8.7,242.0,43,2005.0,Simulation,Nintendo,Nintendo,E
2344,Halo 3,12.12,7.97,0.13,1.21,94.0,86.0,7.8,4100.0,44,2007.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
1746,FIFA 16,12.02,2.0700000000000003,0.06,1.53,82.33333333333333,97.0,4.366666666666666,1651.0,77,2015.0,Sports,Electronic Arts,EA Sports,E
1747,FIFA 16,12.02,2.0700000000000003,0.06,1.53,82.33333333333333,97.0,4.366666666666666,1651.0,417,2015.0,Sports,Electronic Arts,EA Sports,E
1748,FIFA 16,12.02,2.0700000000000003,0.06,1.53,82.33333333333333,97.0,4.366666666666666,1651.0,7576,2015.0,Sports,Electronic Arts,EA Sports,E
2203,Gran Turismo 4,11.66,3.01,1.1,7.53,89.0,74.0,8.5,272.0,48,2004.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
260,Assassin's Creed II,11.36,5.66,0.29,1.4600000000000002,89.0,174.0,8.1,4118.0,159,2009.0,Action,Ubisoft,Ubisoft Montreal,M
261,Assassin's Creed II,11.36,5.66,0.29,1.4600000000000002,89.0,174.0,8.1,4118.0,181,2009.0,Action,Ubisoft,Ubisoft Montreal,M
262,Assassin's Creed II,11.36,5.66,0.29,1.4600000000000002,89.0,174.0,8.1,4118.0,3657,2010.0,Action,Ubisoft,Ubisoft Montreal,M
5454,Super Mario Galaxy,11.35,6.06,1.2,0.74,97.0,73.0,8.9,2147.0,49,2007.0,Platform,Nintendo,Nintendo,E
2228,Grand Theft Auto: Liberty City Stories,11.23,4.46,0.31,2.23,83.0,114.0,7.699999999999999,563.0,91,2005.0,Action,Take-Two Interactive,Rockstar Leeds,M
2229,Grand Theft Auto: Liberty City Stories,11.23,4.46,0.31,2.23,83.0,114.0,7.699999999999999,563.0,363,2006.0,Action,Take-Two Interactive,Rockstar Leeds,M
1778,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,369,2010.0,Sports,Electronic Arts,EA Sports,E
1779,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,1687,2010.0,Sports,Electronic Arts,EA Sports,E
1780,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,1916,2010.0,Sports,Electronic Arts,EA Sports,E
1781,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,8123,2010.0,Sports,Electronic Arts,EA Sports,E
1777,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,202,2010.0,Sports,Electronic Arts,EA Sports,E
2200,Gran Turismo,10.95,4.02,2.54,0.52,96.0,16.0,8.7,138.0,52,1997.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
5451,Super Mario 3D Land,10.81,4.89,2.14,0.78,90.0,82.0,8.4,921.0,53,2011.0,Platform,Nintendo,Nintendo,E
271,Assassin's Creed IV: Black Flag,10.79,4.6899999999999995,0.2,1.3599999999999999,85.4,115.0,7.840000000000001,4748.0,509,2013.0,Action,Ubisoft,Ubisoft,M
269,Assassin's Creed IV: Black Flag,10.79,4.6899999999999995,0.2,1.3599999999999999,85.4,115.0,7.840000000000001,4748.0,337,2013.0,Action,Ubisoft,Ubisoft,M
270,Assassin's Creed IV: Black Flag,10.79,4.6899999999999995,0.2,1.3599999999999999,85.4,115.0,7.840000000000001,4748.0,410,2013.0,Action,Ubisoft,Ubisoft,M
272,Assassin's Creed IV: Black Flag,10.79,4.6899999999999995,0.2,1.3599999999999999,85.4,115.0,7.840000000000001,4748.0,3130,2013.0,Action,Ubisoft,Ubisoft,M
273,Assassin's Creed IV: Black Flag,10.79,4.6899999999999995,0.2,1.3599999999999999,85.4,115.0,7.840000000000001,4748.0,6082,2013.0,Action,Ubisoft,Ubisoft,M
377,Batman: Arkham City,10.74,5.86,0.15,1.32,93.66666666666667,156.0,8.633333333333333,5481.0,224,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
376,Batman: Arkham City,10.74,5.86,0.15,1.32,93.66666666666667,156.0,8.633333333333333,5481.0,164,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
378,Batman: Arkham City,10.74,5.86,0.15,1.32,93.66666666666667,156.0,8.633333333333333,5481.0,3803,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
2204,Gran Turismo 5,10.7,2.96,0.81,2.11,84.0,82.0,7.5,1112.0,54,2010.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
3963,Need for Speed Underground,10.46,5.260000000000001,0.09,1.1400000000000001,82.0,115.0,8.559999999999999,583.0,1045,2003.0,Racing,Electronic Arts,Electronic Arts,E
3962,Need for Speed Underground,10.46,5.260000000000001,0.09,1.1400000000000001,82.0,115.0,8.559999999999999,583.0,102,2003.0,Racing,Electronic Arts,EA Black Box,E
3964,Need for Speed Underground,10.46,5.260000000000001,0.09,1.1400000000000001,82.0,115.0,8.559999999999999,583.0,1663,2003.0,Racing,Electronic Arts,Electronic Arts,E
3965,Need for Speed Underground,10.46,5.260000000000001,0.09,1.1400000000000001,82.0,115.0,8.559999999999999,583.0,5946,2003.0,Racing,Electronic Arts,Pocketeers,E
3966,Need for Speed Underground,10.46,5.260000000000001,0.09,1.1400000000000001,82.0,115.0,8.559999999999999,583.0,13348,2003.0,Racing,Electronic Arts,Black Box,E
1749,FIFA 17,10.36,1.09,0.08,1.29,84.33333333333333,103.0,4.8999999999999995,759.0,94,2016.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
1751,FIFA 17,10.36,1.09,0.08,1.29,84.33333333333333,103.0,4.8999999999999995,759.0,9956,2016.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
257,Assassin's Creed,10.36,5.1899999999999995,0.16,1.38,81.0,117.0,7.5,1843.0,219,2007.0,Adventure,Ubisoft,Ubisoft Montreal,M
1750,FIFA 17,10.36,1.09,0.08,1.29,84.33333333333333,103.0,4.8999999999999995,759.0,571,2016.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
256,Assassin's Creed,10.36,5.1899999999999995,0.16,1.38,81.0,117.0,7.5,1843.0,160,2007.0,Adventure,Ubisoft,Ubisoft Montreal,M
5355,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,542,2008.0,Action,LucasArts,LucasArts,T
5358,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,1584,2008.0,Action,LucasArts,Krome Studios,T
5357,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,936,2008.0,Action,LucasArts,Krome Studios,T
5356,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,734,2008.0,Action,LucasArts,LucasArts,T
5360,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,2370,2008.0,Action,LucasArts,n-Space,T
5359,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,1907,2008.0,Action,LucasArts,Krome Studios,T
4022,New Super Mario Bros. 2,9.9,3.66,2.47,0.63,78.0,70.0,7.2,424.0,62,2012.0,Platform,Nintendo,Nintendo,E
2352,Halo: Reach,9.86,7.04,0.08,0.79,91.0,99.0,7.9,2045.0,64,2010.0,Shooter,Microsoft Game Studios,Bungie,M
1833,Fallout 3,9.85,5.569999999999999,0.16,1.12,91.33333333333333,189.0,8.133333333333333,6015.0,211,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
1835,Fallout 3,9.85,5.569999999999999,0.16,1.12,91.33333333333333,189.0,8.133333333333333,6015.0,2100,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
1834,Fallout 3,9.85,5.569999999999999,0.16,1.12,91.33333333333333,189.0,8.133333333333333,6015.0,307,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
3971,Need for Speed Underground 2,9.81,4.51,0.08,1.2200000000000002,75.6,126.0,8.2,604.0,11806,2004.0,Racing,Electronic Arts,EA Canada,T
3969,Need for Speed Underground 2,9.81,4.51,0.08,1.2200000000000002,75.6,126.0,8.2,604.0,4473,2004.0,Racing,Electronic Arts,Pocketeers,E
3968,Need for Speed Underground 2,9.81,4.51,0.08,1.2200000000000002,75.6,126.0,8.2,604.0,696,2004.0,Racing,Electronic Arts,EA Canada,E
3967,Need for Speed Underground 2,9.81,4.51,0.08,1.2200000000000002,75.6,126.0,8.2,604.0,113,2004.0,Racing,Electronic Arts,EA Canada,E
3970,Need for Speed Underground 2,9.81,4.51,0.08,1.2200000000000002,75.6,126.0,8.2,604.0,9358,2005.0,Racing,Electronic Arts,EA Canada,E
1942,Final Fantasy VII,9.72,3.01,3.28,0.96,92.0,20.0,9.2,1282.0,65,1997.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T
